id,name,model,gender,language,style,description
gemini-zephyr-polish,Zephyr,google/gemini-2.5-pro-preview-tts,female,polish,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-thai,Zephyr,google/gemini-2.5-pro-preview-tts,female,thai,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-turkish,Zephyr,google/gemini-2.5-pro-preview-tts,female,turkish,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-vietnamese,Zephyr,google/gemini-2.5-pro-preview-tts,female,vietnamese,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-romanian,Zephyr,google/gemini-2.5-pro-preview-tts,female,romanian,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-ukrainian,Zephyr,google/gemini-2.5-pro-preview-tts,female,ukrainian,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-bengali,Zephyr,google/gemini-2.5-pro-preview-tts,female,bengali,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-marathi,Zephyr,google/gemini-2.5-pro-preview-tts,female,marathi,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-tamil,Zephyr,google/gemini-2.5-pro-preview-tts,female,tamil,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-telugu,Zephyr,google/gemini-2.5-pro-preview-tts,female,telugu,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-puck-chinese,Puck,google/gemini-2.5-pro-preview-tts,male,chinese,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-arabic,Puck,google/gemini-2.5-pro-preview-tts,male,arabic,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-german,Puck,google/gemini-2.5-pro-preview-tts,male,german,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-english,Puck,google/gemini-2.5-pro-preview-tts,male,english,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-spanish,Puck,google/gemini-2.5-pro-preview-tts,male,spanish,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-french,Puck,google/gemini-2.5-pro-preview-tts,male,french,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-hindi,Puck,google/gemini-2.5-pro-preview-tts,male,hindi,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-indonesian,Puck,google/gemini-2.5-pro-preview-tts,male,indonesian,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-italian,Puck,google/gemini-2.5-pro-preview-tts,male,italian,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-japanese,Puck,google/gemini-2.5-pro-preview-tts,male,japanese,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-korean,Puck,google/gemini-2.5-pro-preview-tts,male,korean,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-portuguese,Puck,google/gemini-2.5-pro-preview-tts,male,portuguese,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-russian,Puck,google/gemini-2.5-pro-preview-tts,male,russian,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-dutch,Puck,google/gemini-2.5-pro-preview-tts,male,dutch,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-polish,Puck,google/gemini-2.5-pro-preview-tts,male,polish,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-thai,Puck,google/gemini-2.5-pro-preview-tts,male,thai,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-turkish,Puck,google/gemini-2.5-pro-preview-tts,male,turkish,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-vietnamese,Puck,google/gemini-2.5-pro-preview-tts,male,vietnamese,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-romanian,Puck,google/gemini-2.5-pro-preview-tts,male,romanian,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-ukrainian,Puck,google/gemini-2.5-pro-preview-tts,male,ukrainian,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-bengali,Puck,google/gemini-2.5-pro-preview-tts,male,bengali,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-marathi,Puck,google/gemini-2.5-pro-preview-tts,male,marathi,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-tamil,Puck,google/gemini-2.5-pro-preview-tts,male,tamil,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-puck-telugu,Puck,google/gemini-2.5-pro-preview-tts,male,telugu,upbeat,Positive; energetic male voice. Ideal for uplifting and spirited content
gemini-charon-chinese,Charon,google/gemini-2.5-pro-preview-tts,male,chinese,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-arabic,Charon,google/gemini-2.5-pro-preview-tts,male,arabic,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-german,Charon,google/gemini-2.5-pro-preview-tts,male,german,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-english,Charon,google/gemini-2.5-pro-preview-tts,male,english,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-spanish,Charon,google/gemini-2.5-pro-preview-tts,male,spanish,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-french,Charon,google/gemini-2.5-pro-preview-tts,male,french,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-hindi,Charon,google/gemini-2.5-pro-preview-tts,male,hindi,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-indonesian,Charon,google/gemini-2.5-pro-preview-tts,male,indonesian,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-italian,Charon,google/gemini-2.5-pro-preview-tts,male,italian,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-japanese,Charon,google/gemini-2.5-pro-preview-tts,male,japanese,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-korean,Charon,google/gemini-2.5-pro-preview-tts,male,korean,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-portuguese,Charon,google/gemini-2.5-pro-preview-tts,male,portuguese,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-russian,Charon,google/gemini-2.5-pro-preview-tts,male,russian,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-dutch,Charon,google/gemini-2.5-pro-preview-tts,male,dutch,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-polish,Charon,google/gemini-2.5-pro-preview-tts,male,polish,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-thai,Charon,google/gemini-2.5-pro-preview-tts,male,thai,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-turkish,Charon,google/gemini-2.5-pro-preview-tts,male,turkish,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-vietnamese,Charon,google/gemini-2.5-pro-preview-tts,male,vietnamese,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-romanian,Charon,google/gemini-2.5-pro-preview-tts,male,romanian,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-ukrainian,Charon,google/gemini-2.5-pro-preview-tts,male,ukrainian,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-bengali,Charon,google/gemini-2.5-pro-preview-tts,male,bengali,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-marathi,Charon,google/gemini-2.5-pro-preview-tts,male,marathi,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-tamil,Charon,google/gemini-2.5-pro-preview-tts,male,tamil,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-charon-telugu,Charon,google/gemini-2.5-pro-preview-tts,male,telugu,informative,Fluent; conversational male voice with gentle authority and credibility
gemini-kore-chinese,Kore,google/gemini-2.5-pro-preview-tts,female,chinese,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-arabic,Kore,google/gemini-2.5-pro-preview-tts,female,arabic,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-german,Kore,google/gemini-2.5-pro-preview-tts,female,german,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-english,Kore,google/gemini-2.5-pro-preview-tts,female,english,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-spanish,Kore,google/gemini-2.5-pro-preview-tts,female,spanish,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-french,Kore,google/gemini-2.5-pro-preview-tts,female,french,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-hindi,Kore,google/gemini-2.5-pro-preview-tts,female,hindi,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-indonesian,Kore,google/gemini-2.5-pro-preview-tts,female,indonesian,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-italian,Kore,google/gemini-2.5-pro-preview-tts,female,italian,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-japanese,Kore,google/gemini-2.5-pro-preview-tts,female,japanese,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-korean,Kore,google/gemini-2.5-pro-preview-tts,female,korean,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-portuguese,Kore,google/gemini-2.5-pro-preview-tts,female,portuguese,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-russian,Kore,google/gemini-2.5-pro-preview-tts,female,russian,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-dutch,Kore,google/gemini-2.5-pro-preview-tts,female,dutch,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-polish,Kore,google/gemini-2.5-pro-preview-tts,female,polish,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-thai,Kore,google/gemini-2.5-pro-preview-tts,female,thai,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-turkish,Kore,google/gemini-2.5-pro-preview-tts,female,turkish,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-vietnamese,Kore,google/gemini-2.5-pro-preview-tts,female,vietnamese,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-romanian,Kore,google/gemini-2.5-pro-preview-tts,female,romanian,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-ukrainian,Kore,google/gemini-2.5-pro-preview-tts,female,ukrainian,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-bengali,Kore,google/gemini-2.5-pro-preview-tts,female,bengali,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-marathi,Kore,google/gemini-2.5-pro-preview-tts,female,marathi,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-tamil,Kore,google/gemini-2.5-pro-preview-tts,female,tamil,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-kore-telugu,Kore,google/gemini-2.5-pro-preview-tts,female,telugu,firm,Energetic; youthful female voice conveying confidence and enthusiasm
gemini-fenrir-chinese,Fenrir,google/gemini-2.5-pro-preview-tts,male,chinese,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-arabic,Fenrir,google/gemini-2.5-pro-preview-tts,male,arabic,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-german,Fenrir,google/gemini-2.5-pro-preview-tts,male,german,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-english,Fenrir,google/gemini-2.5-pro-preview-tts,male,english,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-spanish,Fenrir,google/gemini-2.5-pro-preview-tts,male,spanish,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-french,Fenrir,google/gemini-2.5-pro-preview-tts,male,french,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-hindi,Fenrir,google/gemini-2.5-pro-preview-tts,male,hindi,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-indonesian,Fenrir,google/gemini-2.5-pro-preview-tts,male,indonesian,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-italian,Fenrir,google/gemini-2.5-pro-preview-tts,male,italian,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-japanese,Fenrir,google/gemini-2.5-pro-preview-tts,male,japanese,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-korean,Fenrir,google/gemini-2.5-pro-preview-tts,male,korean,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-portuguese,Fenrir,google/gemini-2.5-pro-preview-tts,male,portuguese,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-russian,Fenrir,google/gemini-2.5-pro-preview-tts,male,russian,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-dutch,Fenrir,google/gemini-2.5-pro-preview-tts,male,dutch,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-polish,Fenrir,google/gemini-2.5-pro-preview-tts,male,polish,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-thai,Fenrir,google/gemini-2.5-pro-preview-tts,male,thai,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-turkish,Fenrir,google/gemini-2.5-pro-preview-tts,male,turkish,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-vietnamese,Fenrir,google/gemini-2.5-pro-preview-tts,male,vietnamese,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-romanian,Fenrir,google/gemini-2.5-pro-preview-tts,male,romanian,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-ukrainian,Fenrir,google/gemini-2.5-pro-preview-tts,male,ukrainian,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-bengali,Fenrir,google/gemini-2.5-pro-preview-tts,male,bengali,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-marathi,Fenrir,google/gemini-2.5-pro-preview-tts,male,marathi,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-tamil,Fenrir,google/gemini-2.5-pro-preview-tts,male,tamil,excitable,Friendly; clear male voice with conversational style
gemini-fenrir-telugu,Fenrir,google/gemini-2.5-pro-preview-tts,male,telugu,excitable,Friendly; clear male voice with conversational style
gemini-leda-chinese,Leda,google/gemini-2.5-pro-preview-tts,female,chinese,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-arabic,Leda,google/gemini-2.5-pro-preview-tts,female,arabic,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-german,Leda,google/gemini-2.5-pro-preview-tts,female,german,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-english,Leda,google/gemini-2.5-pro-preview-tts,female,english,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-spanish,Leda,google/gemini-2.5-pro-preview-tts,female,spanish,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-french,Leda,google/gemini-2.5-pro-preview-tts,female,french,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-hindi,Leda,google/gemini-2.5-pro-preview-tts,female,hindi,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-indonesian,Leda,google/gemini-2.5-pro-preview-tts,female,indonesian,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-italian,Leda,google/gemini-2.5-pro-preview-tts,female,italian,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-japanese,Leda,google/gemini-2.5-pro-preview-tts,female,japanese,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-korean,Leda,google/gemini-2.5-pro-preview-tts,female,korean,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-portuguese,Leda,google/gemini-2.5-pro-preview-tts,female,portuguese,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-russian,Leda,google/gemini-2.5-pro-preview-tts,female,russian,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-dutch,Leda,google/gemini-2.5-pro-preview-tts,female,dutch,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-polish,Leda,google/gemini-2.5-pro-preview-tts,female,polish,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-thai,Leda,google/gemini-2.5-pro-preview-tts,female,thai,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-turkish,Leda,google/gemini-2.5-pro-preview-tts,female,turkish,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-vietnamese,Leda,google/gemini-2.5-pro-preview-tts,female,vietnamese,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-romanian,Leda,google/gemini-2.5-pro-preview-tts,female,romanian,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-ukrainian,Leda,google/gemini-2.5-pro-preview-tts,female,ukrainian,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-bengali,Leda,google/gemini-2.5-pro-preview-tts,female,bengali,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-marathi,Leda,google/gemini-2.5-pro-preview-tts,female,marathi,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-tamil,Leda,google/gemini-2.5-pro-preview-tts,female,tamil,youthful,Composed; professional female voice conveying authority and calm
gemini-leda-telugu,Leda,google/gemini-2.5-pro-preview-tts,female,telugu,youthful,Composed; professional female voice conveying authority and calm
gemini-orus-chinese,Orus,google/gemini-2.5-pro-preview-tts,male,chinese,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-arabic,Orus,google/gemini-2.5-pro-preview-tts,male,arabic,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-german,Orus,google/gemini-2.5-pro-preview-tts,male,german,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-english,Orus,google/gemini-2.5-pro-preview-tts,male,english,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-spanish,Orus,google/gemini-2.5-pro-preview-tts,male,spanish,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-french,Orus,google/gemini-2.5-pro-preview-tts,male,french,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-hindi,Orus,google/gemini-2.5-pro-preview-tts,male,hindi,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-indonesian,Orus,google/gemini-2.5-pro-preview-tts,male,indonesian,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-italian,Orus,google/gemini-2.5-pro-preview-tts,male,italian,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-japanese,Orus,google/gemini-2.5-pro-preview-tts,male,japanese,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-korean,Orus,google/gemini-2.5-pro-preview-tts,male,korean,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-portuguese,Orus,google/gemini-2.5-pro-preview-tts,male,portuguese,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-russian,Orus,google/gemini-2.5-pro-preview-tts,male,russian,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-dutch,Orus,google/gemini-2.5-pro-preview-tts,male,dutch,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-polish,Orus,google/gemini-2.5-pro-preview-tts,male,polish,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-thai,Orus,google/gemini-2.5-pro-preview-tts,male,thai,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-turkish,Orus,google/gemini-2.5-pro-preview-tts,male,turkish,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-vietnamese,Orus,google/gemini-2.5-pro-preview-tts,male,vietnamese,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-romanian,Orus,google/gemini-2.5-pro-preview-tts,male,romanian,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-ukrainian,Orus,google/gemini-2.5-pro-preview-tts,male,ukrainian,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-bengali,Orus,google/gemini-2.5-pro-preview-tts,male,bengali,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-marathi,Orus,google/gemini-2.5-pro-preview-tts,male,marathi,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-tamil,Orus,google/gemini-2.5-pro-preview-tts,male,tamil,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-orus-telugu,Orus,google/gemini-2.5-pro-preview-tts,male,telugu,firm,Mature; deep resonant male voice conveying thoughtfulness and experience
gemini-aoede-chinese,Aoede,google/gemini-2.5-pro-preview-tts,female,chinese,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-arabic,Aoede,google/gemini-2.5-pro-preview-tts,female,arabic,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-german,Aoede,google/gemini-2.5-pro-preview-tts,female,german,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-english,Aoede,google/gemini-2.5-pro-preview-tts,female,english,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-spanish,Aoede,google/gemini-2.5-pro-preview-tts,female,spanish,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-french,Aoede,google/gemini-2.5-pro-preview-tts,female,french,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-hindi,Aoede,google/gemini-2.5-pro-preview-tts,female,hindi,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-indonesian,Aoede,google/gemini-2.5-pro-preview-tts,female,indonesian,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-italian,Aoede,google/gemini-2.5-pro-preview-tts,female,italian,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-japanese,Aoede,google/gemini-2.5-pro-preview-tts,female,japanese,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-korean,Aoede,google/gemini-2.5-pro-preview-tts,female,korean,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-portuguese,Aoede,google/gemini-2.5-pro-preview-tts,female,portuguese,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-russian,Aoede,google/gemini-2.5-pro-preview-tts,female,russian,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-dutch,Aoede,google/gemini-2.5-pro-preview-tts,female,dutch,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-polish,Aoede,google/gemini-2.5-pro-preview-tts,female,polish,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-thai,Aoede,google/gemini-2.5-pro-preview-tts,female,thai,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-turkish,Aoede,google/gemini-2.5-pro-preview-tts,female,turkish,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-vietnamese,Aoede,google/gemini-2.5-pro-preview-tts,female,vietnamese,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-romanian,Aoede,google/gemini-2.5-pro-preview-tts,female,romanian,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-ukrainian,Aoede,google/gemini-2.5-pro-preview-tts,female,ukrainian,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-bengali,Aoede,google/gemini-2.5-pro-preview-tts,female,bengali,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-marathi,Aoede,google/gemini-2.5-pro-preview-tts,female,marathi,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-tamil,Aoede,google/gemini-2.5-pro-preview-tts,female,tamil,breezy,Clear conversational female voice; thoughtful and engaging
gemini-aoede-telugu,Aoede,google/gemini-2.5-pro-preview-tts,female,telugu,breezy,Clear conversational female voice; thoughtful and engaging
gemini-callirhoe-english,Callirhoe,google/gemini-2.5-pro-preview-tts,female,english,easy-going,Confident; clear female voice; professional and energetic
gemini-autonoe-chinese,Autonoe,google/gemini-2.5-pro-preview-tts,female,chinese,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-arabic,Autonoe,google/gemini-2.5-pro-preview-tts,female,arabic,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-german,Autonoe,google/gemini-2.5-pro-preview-tts,female,german,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-english,Autonoe,google/gemini-2.5-pro-preview-tts,female,english,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-spanish,Autonoe,google/gemini-2.5-pro-preview-tts,female,spanish,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-french,Autonoe,google/gemini-2.5-pro-preview-tts,female,french,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-hindi,Autonoe,google/gemini-2.5-pro-preview-tts,female,hindi,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-indonesian,Autonoe,google/gemini-2.5-pro-preview-tts,female,indonesian,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-italian,Autonoe,google/gemini-2.5-pro-preview-tts,female,italian,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-japanese,Autonoe,google/gemini-2.5-pro-preview-tts,female,japanese,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-korean,Autonoe,google/gemini-2.5-pro-preview-tts,female,korean,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-portuguese,Autonoe,google/gemini-2.5-pro-preview-tts,female,portuguese,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-russian,Autonoe,google/gemini-2.5-pro-preview-tts,female,russian,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-dutch,Autonoe,google/gemini-2.5-pro-preview-tts,female,dutch,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-polish,Autonoe,google/gemini-2.5-pro-preview-tts,female,polish,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-thai,Autonoe,google/gemini-2.5-pro-preview-tts,female,thai,bright,Mature; deep female voice conveying wisdom and experience
gemini-autonoe-turkish,Autonoe,google/gemini-2.5-pro-preview-tts,female,turkish,bright,Mature; deep female voice conveying wisdom and experience
